lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.0001,2000,1e-07,3,0.665,0.665,0.664320248503219
0.0001,2000,1e-07,5,0.64,0.64,0.6395584591124127
0.0001,2000,1e-07,7,0.655,0.655,0.6539532084555781
0.0001,2000,1e-06,3,0.665,0.665,0.664698228405565
0.0001,2000,1e-06,5,0.66,0.66,0.6591478696741855
0.0001,2000,1e-06,7,0.6325,0.6325,0.6318350019723125
0.0001,2000,1e-05,3,0.6625,0.6625,0.6609552272541768
0.0001,2000,1e-05,5,0.6725,0.6725,0.6719073827100199
0.0001,2000,1e-05,7,0.64,0.64,0.6376811594202898
0.0001,3000,1e-07,3,0.655,0.655,0.6537535126455238
0.0001,3000,1e-07,5,0.6425,0.6425,0.642121991353367
0.0001,3000,1e-07,7,0.635,0.635,0.6338925248877856
0.0001,3000,1e-06,3,0.645,0.645,0.6427133655394525
0.0001,3000,1e-06,5,0.6475,0.6475,0.6473920138042275
0.0001,3000,1e-06,7,0.6425,0.6425,0.6413140947256868
0.0001,3000,1e-05,3,0.67,0.67,0.6663211911322329
0.0001,3000,1e-05,5,0.6425,0.6425,0.6424977656110351
0.0001,3000,1e-05,7,0.675,0.675,0.6726347863312432
0.0001,4000,1e-07,3,0.655,0.655,0.6524892347208582
0.0001,4000,1e-07,5,0.6475,0.6475,0.6463306808134395
0.0001,4000,1e-07,7,0.645,0.645,0.6439228666716819
0.0001,4000,1e-06,3,0.665,0.665,0.6625620105260508
0.0001,4000,1e-06,5,0.6575,0.6575,0.6567254868797725
0.0001,4000,1e-06,7,0.6325,0.6325,0.6324977031106445
0.0001,4000,1e-05,3,0.67,0.67,0.6691729323308271
0.0001,4000,1e-05,5,0.665,0.665,0.664320248503219
0.0001,4000,1e-05,7,0.62,0.62,0.6181288312732389
0.001,2000,1e-07,3,0.6175,0.6175,0.6145488899385922
0.001,2000,1e-07,5,0.63,0.63,0.6294070512820513
0.001,2000,1e-07,7,0.61,0.61,0.6060606060606061
0.001,2000,1e-06,3,0.6175,0.6175,0.6157492575547338
0.001,2000,1e-06,5,0.6275,0.6275,0.626657646314497
0.001,2000,1e-06,7,0.5975,0.5975,0.5936370118438405
0.001,2000,1e-05,3,0.6175,0.6175,0.6141989901091212
0.001,2000,1e-05,5,0.6275,0.6275,0.6268259543800991
0.001,2000,1e-05,7,0.6125,0.6125,0.6083856012228475
0.001,3000,1e-07,3,0.62,0.62,0.6178504085480829
0.001,3000,1e-07,5,0.6375,0.6375,0.6369895165075887
0.001,3000,1e-07,7,0.6025,0.6025,0.5994331601322627
0.001,3000,1e-06,3,0.62,0.62,0.6172345194026844
0.001,3000,1e-06,5,0.6275,0.6275,0.6268259543800991
0.001,3000,1e-06,7,0.6025,0.6025,0.5982794231898888
0.001,3000,1e-05,3,0.6175,0.6175,0.6154788607618796
0.001,3000,1e-05,5,0.6375,0.6375,0.6371167045191484
0.001,3000,1e-05,7,0.6,0.6,0.5963571230353945
0.001,4000,1e-07,3,0.6175,0.6175,0.6148787686189124
0.001,4000,1e-07,5,0.6275,0.6275,0.6271061308507111
0.001,4000,1e-07,7,0.6125,0.6125,0.6091558396530312
0.001,4000,1e-06,3,0.62,0.62,0.6178504085480829
0.001,4000,1e-06,5,0.63,0.63,0.6294070512820513
0.001,4000,1e-06,7,0.61,0.61,0.6056523167926389
0.001,4000,1e-05,3,0.6225,0.6225,0.6199130330814104
0.001,4000,1e-05,5,0.6275,0.6275,0.6271061308507111
0.001,4000,1e-05,7,0.61,0.61,0.6064481949595095
