lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.0001,2000,1e-07,3,0.62,0.62,0.6190476190476191
0.0001,2000,1e-07,5,0.6175,0.6175,0.6125969298939706
0.0001,2000,1e-07,7,0.675,0.675,0.6713769306605324
0.0001,2000,1e-06,3,0.64,0.64,0.6382273138378052
0.0001,2000,1e-06,5,0.655,0.655,0.6544471153846154
0.0001,2000,1e-06,7,0.6975,0.6975,0.6945967604540665
0.0001,2000,1e-05,3,0.6625,0.6625,0.6601871487813933
0.0001,2000,1e-05,5,0.6175,0.6175,0.6168078591956722
0.0001,2000,1e-05,7,0.6875,0.6875,0.6871695728613347
0.0001,3000,1e-07,3,0.6575,0.6575,0.653863402371162
0.0001,3000,1e-07,5,0.6375,0.6375,0.6364980978822881
0.0001,3000,1e-07,7,0.675,0.675,0.6702516233766234
0.0001,3000,1e-06,3,0.65,0.65,0.6499212322772624
0.0001,3000,1e-06,5,0.6575,0.6575,0.6574807332912476
0.0001,3000,1e-06,7,0.6675,0.6675,0.6670317634173055
0.0001,3000,1e-05,3,0.665,0.665,0.664966496649665
0.0001,3000,1e-05,5,0.66,0.66,0.6593101029584909
0.0001,3000,1e-05,7,0.6675,0.6675,0.66639702516445
0.0001,4000,1e-07,3,0.6625,0.6625,0.6624810145570688
0.0001,4000,1e-07,5,0.6025,0.6025,0.5923886919906942
0.0001,4000,1e-07,7,0.6775,0.6775,0.6703275640657045
0.0001,4000,1e-06,3,0.64,0.64,0.6367214107318551
0.0001,4000,1e-06,5,0.6675,0.6675,0.6674480387560556
0.0001,4000,1e-06,7,0.6725,0.6725,0.6670881009409209
0.0001,4000,1e-05,3,0.6575,0.6575,0.6563638529889446
0.0001,4000,1e-05,5,0.65,0.65,0.6496847162446202
0.0001,4000,1e-05,7,0.675,0.675,0.672346002621232
