Dataset,Algorithm,Silhouette,Dunn,Rand,Pearson
Atom,KMeans,0.38911237580166774,0.02918328515126917,0.17571540017466322,-0.515580046947248
Atom,DBSCAN,0.4608703145263482,0.018506859338438073,0.5676691493349971,0.9151159196707592
Atom,Agglomerative,0.3837732171349504,0.06842026358415619,0.0670717687962496,-0.3865556717425344
Atom,CDSDG Clustering,0.45330947668308974,0.03623126054755797,0.48779199165633147,-0.29796923124901825
Atom,CDSDG Voting,0.45330947668308974,0.03623126054755797,0.48779199165633147,-0.29796923124901825
Atom,CDSDG Clustering with n_clusters,0.3875813761696383,0.02739703652964058,0.16947556948367218,0.5097475058154174
Chainlink,KMeans,0.2822403979739695,0.017233548183428753,0.00015519037516347343,0.03400061201652461
Chainlink,DBSCAN,0.1536358301003274,0.22072087380801053,1.0,1.0
Chainlink,Agglomerative,0.27194296371045484,0.018815764711357534,-0.0009024930884612038,0.008145237499981216
Chainlink,CDSDG Clustering,0.434950901502959,0.009196589312787542,0.3283042916249455,0.4267776309762005
Chainlink,CDSDG Voting,0.434950901502959,0.009196589312787542,0.3283042916249455,0.4267776309762005
Chainlink,CDSDG Clustering with n_clusters,0.24763306277552113,0.014690453323024934,0.0763714624012772,0.27982424429199426
EngyTime,KMeans,0.4133232691972125,0.0009423023576088916,0.8132979969969109,-0.9048688384356762
EngyTime,DBSCAN,0.38245512154434474,0.035779430673246584,1.4308618287930934e-06,-0.027073210190013918
EngyTime,Agglomerative,0.40790823660410674,0.003909642277374,0.8080210781632641,0.9027782794946011
EngyTime,CDSDG Clustering,0.4144927625154886,0.003058394824361049,0.5011675532520906,0.7251630022293819
EngyTime,CDSDG Voting,-0.03815104056262948,0.00209353171352476,0.05167392325511542,0.2856323640543139
EngyTime,CDSDG Clustering with n_clusters,0.4133670325438391,0.0009423023576088916,0.8141791637943709,0.9053225730274677
Hepta,KMeans,0.7021314652392165,1.0497544943326034,1.0,0.4360451823309106
Hepta,DBSCAN,0.7021314652392165,1.0497544943326034,1.0,0.9999999999999999
Hepta,Agglomerative,0.7021314652392165,1.0497544943326034,1.0,-0.4404486967997361
Hepta,CDSDG Clustering,0.7021314652392165,1.0497544943326034,1.0,0.9999999999999999
Hepta,CDSDG Voting,0.7021314652392165,1.0497544943326034,1.0,0.9999999999999999
Hepta,CDSDG Clustering with n_clusters,0.7021314652392165,1.0497544943326034,1.0,0.1128920202490152
Tetra,KMeans,0.5057941660374363,0.22378697957704358,1.0,0.3999999999999999
Tetra,DBSCAN,0.30661015070467,0.10100394122547057,0.6870281948781154,0.8390663013519947
Tetra,Agglomerative,0.495198706501583,0.1429270591555413,0.9672676330087653,0.015008444625821345
Tetra,CDSDG Clustering,0.4927712296960379,0.04231990369091798,0.9666577042947434,-0.008965304169713102
Tetra,CDSDG Voting,0.4968184940110919,0.048211303249350176,0.9733373393895477,-0.005976380209322438
Tetra,CDSDG Clustering with n_clusters,0.48535868572288443,0.04231990369091798,0.953698418560924,-0.013003934285271928
Target,KMeans,0.5823791023636123,0.023552661133331897,0.6355486669217713,0.4960984558238368
Target,DBSCAN,0.27620034411533606,0.11643378723603565,0.999634881516244,0.5265976962267244
Target,Agglomerative,0.5683076742830001,0.04426090282843625,0.6387791202472747,-0.614410862882449
Target,CDSDG Clustering,0.6154700887378831,0.26192322409090896,0.014632954859259402,0.24307977426470814
Target,CDSDG Voting,0.34286002640077917,0.007501969644994552,0.059634412038138886,0.3168219542400984
Target,CDSDG Clustering with n_clusters,0.5807006161402704,0.015461096116623545,0.6351358955812312,0.7237246967380161
TwoDiamonds,KMeans,0.4247315727359653,0.01735151093124637,1.0,1.0
TwoDiamonds,DBSCAN,0.0,0.0,0.0,0.0
TwoDiamonds,Agglomerative,0.4247315727359653,0.01735151093124637,1.0,1.0
TwoDiamonds,CDSDG Clustering,0.447150179758886,0.015156793666715608,0.5020733424978233,0.4676676192844088
TwoDiamonds,CDSDG Voting,0.447150179758886,0.015156793666715608,0.5020733424978233,0.4676676192844088
TwoDiamonds,CDSDG Clustering with n_clusters,0.4247315727359653,0.01735151093124637,1.0,1.0
WingNut,KMeans,0.43798833997404624,0.015188296179432664,0.6702684825487994,-0.8188976377952761
WingNut,DBSCAN,0.0,0.0,0.0,0.0
WingNut,Agglomerative,0.41179237329081997,0.07147490018077995,1.0,1.0
WingNut,CDSDG Clustering,0.4151737319231809,0.013935565899584331,0.520897578570149,0.5856209955062472
WingNut,CDSDG Voting,0.28026354721978786,0.010202759052030932,0.36122345822106794,0.46875212030017566
WingNut,CDSDG Clustering with n_clusters,0.43798833997404624,0.015188296179432664,0.6702684825487994,0.8188976377952761
Iris,KMeans,0.49505010710780123,0.06424955532358842,0.46994578558395356,-0.3532468856456778
Iris,DBSCAN,0.3565164814270073,0.047925892352260094,0.4420986685885924,0.19404599668201142
Iris,Agglomerative,0.4466890410285909,0.09826714960681626,0.6153229932145449,-0.4959933011793202
Iris,CDSDG Clustering,0.504645610832545,0.23916876929674105,0.5583714437541352,-0.8224663928158645
