Dataset,Algorithm,Silhouette,Dunn,Rand,Pearson
Atom,KMeans,0.4174755342972209,0.03231027991438114,0.19511197741600156,0.5330189014262895
Atom,DBSCAN,0.0,0.0,0.0,0.0
Atom,Agglomerative,0.41073709133177916,0.08623451728951541,0.09862621818643041,-0.4323697725073315
Atom,DSC,0.4136409972773324,0.040079469474647786,0.15932661957011873,0.49999999999999994
Chainlink,KMeans,0.3575260895869045,0.010060645216962906,0.09643959301389383,-0.31200998447925754
Chainlink,DBSCAN,0.16665067817267834,0.37189737642279397,1.0,1.0
Chainlink,Agglomerative,0.3399813559048249,0.03920914359049763,0.35706442581215536,-0.6530953403124256
Chainlink,DSC,0.3572088830888027,0.018168506721606987,0.09150661175941303,-0.30400243202918437
EngyTime,KMeans,0.42463758764423476,0.0038872441759214404,0.8168253559861115,-0.9049538056309921
EngyTime,DBSCAN,0.4511335999702433,0.022944704031592777,-1.8752208275137675e-06,0.012795300381519263
EngyTime,Agglomerative,0.39934679304255377,0.004629677576555305,0.7184533725930805,0.8539403328927153
EngyTime,DSC,0.4139419071080529,0.003372573133298274,0.7604481583273094,-0.8722716465975897
Hepta,KMeans,0.7019231989948803,1.065010037278373,1.0,0.18981571102989414
Hepta,DBSCAN,0.1075426321041714,0.027838598703172145,0.31328213511722036,0.2978287037296722
Hepta,Agglomerative,0.7019231989948803,1.065010037278373,1.0,-0.6502804354998348
Hepta,DSC,0.7019231989948803,1.065010037278373,1.0,0.18981571102989414
Tetra,KMeans,0.5057889289788572,0.22286832447315746,1.0,-0.19999999999999982
Tetra,DBSCAN,0.0,0.0,0.0,0.0
Tetra,Agglomerative,0.4952113887827159,0.1433076002637819,0.9672676330087653,0.015008444625821404
Tetra,DSC,0.4915647724834497,0.06492093768997717,0.9604834847820484,-0.21752760044405095
Target,KMeans,0.5801263096619466,0.022936676532485073,0.6350271573919927,0.14946568705733046
Target,DBSCAN,0.27620474177731674,0.11689895855783064,0.999634881516244,0.526597696226726
Target,Agglomerative,0.5683249608036377,0.044301181765109374,0.6387791202472747,-0.6144108628824496
Target,DSC,0.5636871935218837,0.016787864689482256,0.6388979105520161,0.17464837059237365
TwoDiamonds,KMeans,0.6305972114000131,0.04499999999999993,1.0,0.9999999999999998
TwoDiamonds,DBSCAN,0.0,0.0,0.0,0.0
TwoDiamonds,Agglomerative,0.6305972114000131,0.04499999999999993,1.0,-0.9999999999999998
TwoDiamonds,DSC,0.6305972114000131,0.04499999999999993,1.0,0.9999999999999998
WingNut,KMeans,0.460240362836918,0.01984498237527709,0.859497168372491,0.9271671507223962
WingNut,DBSCAN,0.0,0.0,0.0,0.0
WingNut,Agglomerative,0.43491039594216246,0.03016708956447158,0.6011477451948987,-0.7755905511811023
WingNut,DSC,0.4482302192929621,0.08320502943378437,1.0,1.0
Iris,KMeans,0.5511916046195919,0.10943513103291669,0.7163421126838476,0.2236376039494433
Iris,DBSCAN,0.48603419703456857,0.07543555587646832,0.5206185241703302,0.36771246459370666
Iris,Agglomerative,0.5543236611296419,0.1127947086987354,0.7311985567707746,0.20544090417863603
Iris,DSC,0.5481277835097936,0.10088665446106332,0.7445264308738749,0.22513144257068346
Wine,KMeans,0.5595823478987213,0.014749468689460535,0.3517721516862617,-0.49436379276374254
Wine,DBSCAN,0.0,0.0,0.0,0.0
Wine,Agglomerative,0.5644796401732068,0.022374511405772082,0.36840191587483156,0.5725250629992938
Wine,DSC,0.49797956365112167,0.0076147432844006265,0.359887614066436,-0.580541290165044
Uniform,KMeans,0.6090703940135522,0.004129051664811543,0.9840320578693613,-0.992021573499599
Uniform,DBSCAN,0.0,0.0,0.0,0.0
Uniform,Agglomerative,0.6008471293304483,0.014950812622520028,0.6265259590119457,-0.8079466429027214
Uniform,DSC,0.6092812517586981,0.011087505148872884,0.9603206157858745,-0.9801803569660551
Rectangle,KMeans,0.439638954527144,0.1482489233833969,1.0,1.0
Rectangle,DBSCAN,0.0,0.0,0.0,0.0
Rectangle,Agglomerative,0.439638954527144,0.1482489233833969,1.0,1.0
Rectangle,DSC,0.439638954527144,0.1482489233833969,1.0,1.0
Gaussian,KMeans,0.6435277436707083,0.09856924495839288,0.984032,-0.9920000000000003
Gaussian,DBSCAN,0.0,0.0,0.0,0.0
Gaussian,Agglomerative,0.6435277436707083,0.09856924495839288,0.984032,-0.9920000000000003
Gaussian,DSC,0.6322244592909906,0.035883894704233366,0.929154044581963,-0.9640694154969635
GaussianMix,KMeans,0.6841696612519849,0.10389054380912274,1.0,0.5
GaussianMix,DBSCAN,0.6048572335715502,0.20904348659001887,0.5706093189964158,0.0
GaussianMix,Agglomerative,0.6841696612519849,0.10389054380912274,1.0,0.5
GaussianMix,DSC,0.6816804797318925,0.0654664827632236,0.9850626884924543,0.4931178116115411
