lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.1,2000,1e-07,3,0.6525,0.6525,0.6495010433017506
0.1,2000,1e-07,5,0.625,0.625,0.6242390841453944
0.1,2000,1e-07,7,0.6225,0.6225,0.6135117322224996
0.1,2000,1e-06,3,0.6475,0.6475,0.6461176470588235
0.1,2000,1e-06,5,0.63,0.63,0.6290726817042607
0.1,2000,1e-06,7,0.6125,0.6125,0.6091558396530312
0.1,2000,1e-05,3,0.63,0.63,0.6298519407763106
0.1,2000,1e-05,5,0.6,0.6,0.598302829454445
0.1,2000,1e-05,7,0.5925,0.5925,0.5877357715095067
0.1,3000,1e-07,3,0.635,0.635,0.6338925248877856
0.1,3000,1e-07,5,0.6175,0.6175,0.617478483164678
0.1,3000,1e-07,7,0.6,0.6,0.598302829454445
0.1,3000,1e-06,3,0.6175,0.6175,0.6151887272933054
0.1,3000,1e-06,5,0.6075,0.6075,0.6074975468596678
0.1,3000,1e-06,7,0.59,0.59,0.5873590982286634
0.1,3000,1e-05,3,0.605,0.605,0.6045155315261195
0.1,3000,1e-05,5,0.6425,0.6425,0.642121991353367
0.1,3000,1e-05,7,0.6075,0.6075,0.6010139835704166
0.1,4000,1e-07,3,0.6325,0.6325,0.6305581211241589
0.1,4000,1e-07,5,0.635,0.635,0.6329352608422376
0.1,4000,1e-07,7,0.6,0.6,0.5946391021256112
0.1,4000,1e-06,3,0.6225,0.6225,0.6180865122572731
0.1,4000,1e-06,5,0.645,0.645,0.6398133116883117
0.1,4000,1e-06,7,0.6125,0.6125,0.6044682330575244
0.1,4000,1e-05,3,0.5825,0.5825,0.5805890588996114
0.1,4000,1e-05,5,0.63,0.63,0.6296667000300271
0.1,4000,1e-05,7,0.5975,0.5975,0.5872615057264261
0.01,2000,1e-07,3,0.6225,0.6225,0.6210196078431373
0.01,2000,1e-07,5,0.6175,0.6175,0.6154788607618796
0.01,2000,1e-07,7,0.5825,0.5825,0.5808627450980393
0.01,2000,1e-06,3,0.62,0.62,0.6175523349436394
0.01,2000,1e-06,5,0.625,0.625,0.6231534519143804
0.01,2000,1e-06,7,0.59,0.59,0.5858585858585859
0.01,2000,1e-05,3,0.62,0.62,0.6175523349436394
0.01,2000,1e-05,5,0.6275,0.6275,0.6264704592031788
0.01,2000,1e-05,7,0.6,0.6,0.5989974937343359
0.01,3000,1e-07,3,0.615,0.615,0.6128221244500314
0.01,3000,1e-07,5,0.6175,0.6175,0.6154788607618796
0.01,3000,1e-07,7,0.59,0.59,0.5858585858585859
0.01,3000,1e-06,3,0.62,0.62,0.6175523349436394
0.01,3000,1e-06,5,0.6225,0.6225,0.6205052808826395
0.01,3000,1e-06,7,0.5825,0.5825,0.5796389173814274
0.01,3000,1e-05,3,0.6125,0.6125,0.6087809741353745
0.01,3000,1e-05,5,0.6325,0.6325,0.6318350019723125
0.01,3000,1e-05,7,0.59,0.59,0.5858585858585859
0.01,4000,1e-07,3,0.5925,0.5925,0.5881732451569299
0.01,4000,1e-07,5,0.62,0.62,0.6178504085480829
0.01,4000,1e-07,7,0.595,0.595,0.5913115870733369
0.01,4000,1e-06,3,0.605,0.605,0.6001619597125215
0.01,4000,1e-06,5,0.62,0.62,0.6186270574066639
0.01,4000,1e-06,7,0.59,0.59,0.5862660511112794
0.01,4000,1e-05,3,0.6125,0.6125,0.6098445041564147
0.01,4000,1e-05,5,0.625,0.625,0.6242390841453944
0.01,4000,1e-05,7,0.5925,0.5925,0.5881732451569299
