lr,bs,mdl,nr,accuracy,f1_micro,f1_macro
0.0001,2000,1e-07,3,0.6525,0.6525,0.6509094562098561
0.0001,2000,1e-07,5,0.6625,0.6625,0.6607166418487174
0.0001,2000,1e-07,7,0.66,0.66,0.6598639455782312
0.0001,2000,1e-06,3,0.6525,0.6525,0.6522370042344523
0.0001,2000,1e-06,5,0.655,0.655,0.6548619447779112
0.0001,2000,1e-06,7,0.6325,0.6325,0.6289729238574195
0.0001,2000,1e-05,3,0.67,0.67,0.6688077077478924
0.0001,2000,1e-05,5,0.6475,0.6475,0.647444913267698
0.0001,2000,1e-05,7,0.6725,0.6725,0.665711861487327
0.0001,3000,1e-07,3,0.665,0.665,0.656753502907349
0.0001,3000,1e-07,5,0.68,0.68,0.677938808373591
0.0001,3000,1e-07,7,0.7,0.7,0.6972678422765458
0.0001,3000,1e-06,3,0.675,0.675,0.6741854636591479
0.0001,3000,1e-06,5,0.61,0.61,0.6096486838154338
0.0001,3000,1e-06,7,0.6625,0.6625,0.6595873442139304
0.0001,3000,1e-05,3,0.6325,0.6325,0.6314842785427334
0.0001,3000,1e-05,5,0.665,0.665,0.6649916247906198
0.0001,3000,1e-05,7,0.65,0.65,0.6477455716586151
0.0001,4000,1e-07,3,0.6625,0.6625,0.6615671945800613
0.0001,4000,1e-07,5,0.6775,0.6775,0.6760238838206578
0.0001,4000,1e-07,7,0.6475,0.6475,0.6461176470588235
0.0001,4000,1e-06,3,0.6825,0.6825,0.6800503857660212
0.0001,4000,1e-06,5,0.6525,0.6525,0.6517141801188933
0.0001,4000,1e-06,7,0.6575,0.6575,0.6551528843188955
0.0001,4000,1e-05,3,0.6225,0.6225,0.6221008440164923
0.0001,4000,1e-05,5,0.6775,0.6775,0.6772559247931249
0.0001,4000,1e-05,7,0.645,0.645,0.644857943177271
0.001,2000,1e-07,3,0.6225,0.6225,0.6207721430768941
0.001,2000,1e-07,5,0.65,0.65,0.6497811131957474
0.001,2000,1e-07,7,0.625,0.625,0.6212121212121212
0.001,2000,1e-06,3,0.62,0.62,0.6175523349436394
0.001,2000,1e-06,5,0.64,0.64,0.6399189817708985
0.001,2000,1e-06,7,0.62,0.62,0.6168968646032866
0.001,2000,1e-05,3,0.6325,0.6325,0.630279365438666
0.001,2000,1e-05,5,0.6375,0.6375,0.6373889503660496
0.001,2000,1e-05,7,0.63,0.63,0.6262626262626263
0.001,3000,1e-07,3,0.6225,0.6225,0.6205052808826395
0.001,3000,1e-07,5,0.65,0.65,0.6496847162446202
0.001,3000,1e-07,7,0.6175,0.6175,0.6141989901091212
0.001,3000,1e-06,3,0.6275,0.6275,0.6260392156862745
0.001,3000,1e-06,5,0.6475,0.6475,0.6472332201227178
0.001,3000,1e-06,7,0.625,0.625,0.6212121212121212
0.001,3000,1e-05,3,0.635,0.635,0.6326489533011272
0.001,3000,1e-05,5,0.645,0.645,0.6447779862414009
0.001,3000,1e-05,7,0.6225,0.6225,0.618876948996397
0.001,4000,1e-07,3,0.625,0.625,0.6231534519143804
0.001,4000,1e-07,5,0.64,0.64,0.6396757081373237
0.001,4000,1e-07,7,0.6175,0.6175,0.6148787686189124
0.001,4000,1e-06,3,0.625,0.625,0.6225845410628019
0.001,4000,1e-06,5,0.6525,0.6525,0.6522370042344523
0.001,4000,1e-06,7,0.6225,0.6225,0.6192421405652111
0.001,4000,1e-05,3,0.63,0.63,0.628178072555522
0.001,4000,1e-05,5,0.645,0.645,0.6449201070240804
0.001,4000,1e-05,7,0.6225,0.6225,0.6195874665407023
0.01,2000,1e-07,3,0.61,0.61,0.6071617435974919
0.01,2000,1e-07,5,0.6425,0.6425,0.6413140947256868
0.01,2000,1e-07,7,0.615,0.615,0.6111111111111112
0.01,2000,1e-06,3,0.61,0.61,0.6071617435974919
0.01,2000,1e-06,5,0.6425,0.6425,0.6413140947256868
0.01,2000,1e-06,7,0.615,0.615,0.6107080563209384
0.01,2000,1e-05,3,0.6125,0.6125,0.6104524406411199
0.01,2000,1e-05,5,0.6475,0.6475,0.6468621447489529
0.01,2000,1e-05,7,0.62,0.62,0.6157637958492379
0.01,3000,1e-07,3,0.6075,0.6075,0.6044717367343726
0.01,3000,1e-07,5,0.64,0.64,0.6386993175431553
0.01,3000,1e-07,7,0.615,0.615,0.6111111111111112
0.01,3000,1e-06,3,0.61,0.61,0.6071617435974919
0.01,3000,1e-06,5,0.6425,0.6425,0.6413140947256868
0.01,3000,1e-06,7,0.6175,0.6175,0.6130280554659787
0.01,3000,1e-05,3,0.615,0.615,0.6118560338743825
0.01,3000,1e-05,5,0.6425,0.6425,0.6419965576592083
0.01,3000,1e-05,7,0.6125,0.6125,0.6083856012228475
0.01,4000,1e-07,3,0.61,0.61,0.6071617435974919
0.01,4000,1e-07,5,0.6425,0.6425,0.6413140947256868
0.01,4000,1e-07,7,0.615,0.615,0.6111111111111112
0.01,4000,1e-06,3,0.61,0.61,0.6071617435974919
0.01,4000,1e-06,5,0.6425,0.6425,0.6413140947256868
0.01,4000,1e-06,7,0.62,0.62,0.6153456827614131
0.01,4000,1e-05,3,0.6175,0.6175,0.6154788607618796
0.01,4000,1e-05,5,0.645,0.645,0.6442796663243067
0.01,4000,1e-05,7,0.6175,0.6175,0.6130280554659787
0.1,2000,1e-07,3,0.6275,0.6275,0.6153821333384959
0.1,2000,1e-07,5,0.6425,0.6425,0.6408636851655354
0.1,2000,1e-07,7,0.615,0.615,0.6083816498830231
0.1,2000,1e-06,3,0.6075,0.6075,0.6072029472288418
0.1,2000,1e-06,5,0.64,0.64,0.6367214107318551
0.1,2000,1e-06,7,0.6125,0.6125,0.6060966079835324
0.1,2000,1e-05,3,0.61,0.61,0.607487922705314
0.1,2000,1e-05,5,0.635,0.635,0.6301081806896203
0.1,2000,1e-05,7,0.5975,0.5975,0.5943945835301527
0.1,3000,1e-07,3,0.6125,0.6125,0.6079695986746843
0.1,3000,1e-07,5,0.65,0.65,0.6494391025641025
0.1,3000,1e-07,7,0.6075,0.6075,0.6020051840726024
0.1,3000,1e-06,3,0.615,0.615,0.6143830128205128
0.1,3000,1e-06,5,0.6375,0.6375,0.6343715919334808
0.1,3000,1e-06,7,0.605,0.605,0.6021253556948956
0.1,3000,1e-05,3,0.605,0.605,0.6049901247531189
0.1,3000,1e-05,5,0.655,0.655,0.6541353383458646
0.1,3000,1e-05,7,0.615,0.615,0.6146531878690822
0.1,4000,1e-07,3,0.615,0.615,0.6114937309215671
0.1,4000,1e-07,5,0.635,0.635,0.6305294058103047
0.1,4000,1e-07,7,0.6125,0.6125,0.6117988116034587
0.1,4000,1e-06,3,0.6075,0.6075,0.6074975468596678
0.1,4000,1e-06,5,0.6575,0.6575,0.6568802399333797
0.1,4000,1e-06,7,0.5925,0.5925,0.5881732451569299
0.1,4000,1e-05,3,0.6025,0.6025,0.6017807164190319
0.1,4000,1e-05,5,0.6475,0.6475,0.6458865706876957
0.1,4000,1e-05,7,0.62,0.62,0.6196576919227305
